table,rows,bytes,fetch_sec,insert_sec,ok,error
CrewShifts,21802,17693839,3.5653007920482196,1.4322710419655778,True,
Narratives,2,1084,0.09165845898678526,0.004759959003422409,True,
rbCalcs,33,7386,0.08825366600649431,0.006120249978266656,True,
Rules,2,80651,0.16934991703601554,0.011072665976826102,True,
SQL$Timed_Triggers,2,956,0.10023508302401751,0.00630983297014609,True,
Tranplan,2982,2853003,0.6187769579701126,0.27821175003191456,True,
UserSettings,25694,5109083,1.415011124976445,0.5062254999647848,True,
